,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.26527791172404924,0.0
1,bagging,1.0,1.0,0.26527791172404924,1.0
2,bagging,1.0,1.0,0.26527791172404924,2.0
3,bagging,0.9907901114881241,0.9664843579085539,0.27014703452833305,5.0
4,bagging,0.9511633543383422,0.8815138919273682,0.2803614802114588,10.0
5,bagging,0.9114154144449831,0.8040253773791293,0.2904197397381936,20.0
6,bagging,0.8206495395055744,0.6706191205425509,0.30643920539390923,30.0
7,bagging,0.6503877847794474,0.4708816451542332,0.332754665509331,50.0
8,bagging,0.5265390208434318,0.36245898052942466,0.34404941008789297,60.0
9,bagging,0.40123606398448863,0.2641872675563334,0.3541555246550433,70.0
10,bagging,0.14335918565196315,0.08492671187923868,0.3786811779769526,90.0
11,bagging,0.00036354823073194375,8.750820389411507e-05,0.6,100.0
12,boosted,1.0,1.0,0.26527791172404924,0.0
13,boosted,0.9991517207949588,0.9866549989061475,0.26773826919954535,1.0
14,boosted,0.9986669898206495,0.9732224896084007,0.27033853824957355,2.0
15,boosted,0.9916383906931653,0.9349376504047254,0.27691110283915943,5.0
16,boosted,0.9739457101308774,0.8732881207613213,0.28707672524646377,10.0
17,boosted,0.916383906931653,0.7579523080288777,0.30387783805505325,20.0
18,boosted,0.8396752302472128,0.6495733975060162,0.3182089552238806,30.0
19,boosted,0.6519631604459525,0.44515423320936337,0.3458917320303459,50.0
20,boosted,0.5391420261754726,0.34977029096477796,0.3575504299606204,60.0
21,boosted,0.41650508967523026,0.2579304309779042,0.368302614659237,70.0
22,boosted,0.14844886088221038,0.08252023627215051,0.3937640630022501,90.0
23,boosted,0.0001211827435773146,0.0,1.0,100.0
24,forest,1.0,1.0,0.26527791172404924,0.0
25,forest,0.9989093553078041,0.9867425071100415,0.26767332359149215,1.0
26,forest,0.9975763451284537,0.9736162765259243,0.2700433014040152,2.0
27,forest,0.9899418322830829,0.9355502078319843,0.27643734560590166,5.0
28,forest,0.9728550654386815,0.8736819076788449,0.28675525075010716,10.0
29,forest,0.9189287445467765,0.7570334718879895,0.3047217199115933,20.0
30,forest,0.8527629665535628,0.644847954495734,0.3231687715269805,30.0
31,forest,0.6726854095976733,0.43767228177641654,0.3568856885688569,50.0
32,forest,0.5632573921473583,0.3410632246773135,0.3735433577111629,60.0
33,forest,0.43977217644207467,0.24952964340406913,0.3888769824260609,70.0
34,forest,0.1658991759573437,0.07621964559177423,0.44005143040822886,90.0
35,forest,0.0001211827435773146,0.0,1.0,100.0
36,svm,1.0,1.0,0.26527791172404924,0.0
37,svm,0.9962433349491032,0.9877050973528768,0.2669589219029063,1.0
38,svm,0.9923654871546291,0.9754977029096478,0.26863272536412547,2.0
39,svm,0.9744304411051866,0.9411507328812077,0.27210585090183076,5.0
40,svm,0.9437712069801261,0.8841828921461387,0.27818259751393054,10.0
41,svm,0.8736063984488609,0.7733975060161891,0.28969258589511754,20.0
42,svm,0.7962918080465342,0.6652373660030628,0.30176808266360505,30.0
43,svm,0.6153659718856035,0.4583679719973748,0.3264755046933265,50.0
44,svm,0.5164808531265148,0.35795230802887773,0.342521899863377,60.0
45,svm,0.4043868153174988,0.2623058411726099,0.3575867981140163,70.0
46,svm,0.14747939893359185,0.08287026908772697,0.3911925425908068,90.0
47,svm,0.0,4.3754101947057534e-05,0.0,100.0
48,knn,1.0,1.0,0.26527791172404924,0.0
49,knn,1.0,1.0,0.26527791172404924,1.0
50,knn,1.0,1.0,0.26527791172404924,2.0
51,knn,0.9898206495395055,0.9613651279807482,0.2710019907100199,5.0
52,knn,0.9898206495395055,0.9613651279807482,0.2710019907100199,10.0
53,knn,0.8888754241396025,0.7710347845110479,0.2939055174900829,20.0
54,knn,0.8888754241396025,0.7710347845110479,0.2939055174900829,30.0
55,knn,0.6514784294716433,0.49472763071537956,0.3222442006833303,50.0
56,knn,0.6514784294716433,0.49472763071537956,0.3222442006833303,60.0
57,knn,0.49478914202617547,0.35655217676657186,0.3337965990843689,70.0
58,knn,0.2009209888511876,0.13410632246773135,0.3510480626720305,90.0
59,knn,0.0001211827435773146,0.0001312623058411726,0.25,100.0
60,logit,1.0,1.0,0.26527791172404924,0.0
61,logit,0.9972127968977218,0.9873550645373004,0.26721870433511935,1.0
62,logit,0.9938196800775569,0.974972653686283,0.26902637449153655,2.0
63,logit,0.9804895782840524,0.9389630277838548,0.27379784102060845,5.0
64,logit,0.9558894813378574,0.879807481951433,0.2817545363623375,10.0
65,logit,0.8916626272418807,0.7668781448260774,0.295680128591521,20.0
66,logit,0.816650508967523,0.6578866768759571,0.3094833524684271,30.0
67,logit,0.6465099369849734,0.44712316779698097,0.342998585572843,50.0
68,logit,0.5419292292777509,0.3487639466199956,0.3593988587961103,60.0
69,logit,0.42486669898206497,0.2549113979435572,0.37569652807543935,70.0
70,logit,0.15390208434318953,0.08055130168453292,0.40822886531661845,90.0
71,logit,0.0,4.3754101947057534e-05,0.0,100.0
72,tree,1.0,1.0,0.26527791172404924,0.0
73,tree,1.0,1.0,0.26527791172404924,1.0
74,tree,0.9907901114881241,0.9861737037847298,0.2661891583916653,2.0
75,tree,0.98691226369365,0.9488952089258368,0.2730045925379639,5.0
76,tree,0.963402811439651,0.8772259899365565,0.2839387120968606,10.0
77,tree,0.911051866214251,0.7599649967184423,0.3020854261260899,20.0
78,tree,0.8503393116820165,0.6563552833078101,0.3186937959851031,30.0
79,tree,0.6648085312651478,0.44659811857361625,0.3495826164531957,50.0
80,tree,0.5472612699951527,0.35047035659593084,0.3605300973974134,60.0
81,tree,0.42474551623848766,0.25189236490921024,0.37842798531634636,70.0
82,tree,0.14493456131846824,0.08164515423320937,0.3905943827563684,90.0
83,tree,0.007149781871061561,0.005950557864799825,0.30256410256410254,100.0
84,baseline,1.0,1.0,,
85,baseline,1.0,1.0,,
86,baseline,1.0,1.0,,
87,baseline,0.9664843579085539,0.9664843579085539,,
88,baseline,0.8815138919273682,0.8815138919273682,,
89,baseline,0.8040253773791293,0.8040253773791293,,
90,baseline,0.6706191205425509,0.6706191205425509,,
91,baseline,0.4708816451542332,0.4708816451542332,,
92,baseline,0.36245898052942466,0.36245898052942466,,
93,baseline,0.2641872675563334,0.2641872675563334,,
94,baseline,0.08492671187923868,0.08492671187923868,,
95,baseline,8.750820389411507e-05,8.750820389411507e-05,,
96,baseline,1.0,1.0,,
97,baseline,0.9866549989061475,0.9866549989061475,,
98,baseline,0.9732224896084007,0.9732224896084007,,
99,baseline,0.9349376504047254,0.9349376504047254,,
100,baseline,0.8732881207613213,0.8732881207613213,,
101,baseline,0.7579523080288777,0.7579523080288777,,
102,baseline,0.6495733975060162,0.6495733975060162,,
103,baseline,0.44515423320936337,0.44515423320936337,,
104,baseline,0.34977029096477796,0.34977029096477796,,
105,baseline,0.2579304309779042,0.2579304309779042,,
106,baseline,0.08252023627215051,0.08252023627215051,,
107,baseline,0.0,0.0,,
108,baseline,1.0,1.0,,
109,baseline,0.9867425071100415,0.9867425071100415,,
110,baseline,0.9736162765259243,0.9736162765259243,,
111,baseline,0.9355502078319843,0.9355502078319843,,
112,baseline,0.8736819076788449,0.8736819076788449,,
113,baseline,0.7570334718879895,0.7570334718879895,,
114,baseline,0.644847954495734,0.644847954495734,,
