,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.2988428417653391,0.0
1,bagging,0.9997748761819001,0.9986566877758588,0.2990773789480773,1.0
2,bagging,0.9925709140027015,0.9749568221070811,0.30260809883321893,2.0
3,bagging,0.975011256190905,0.9397428516599501,0.3066194690265487,5.0
4,bagging,0.9403421882035119,0.8858184609479947,0.3115071966589604,10.0
5,bagging,0.8818099954975236,0.7670312799846478,0.3288556796238771,20.0
6,bagging,0.8113462404322377,0.6936288620226444,0.3326871596049109,30.0
7,bagging,0.6172895092300765,0.46939167146421035,0.35918260413937647,50.0
8,bagging,0.504952723998199,0.3581846094799463,0.375334672021419,60.0
9,bagging,0.38968932913102206,0.26175398196123584,0.3882036331015923,70.0
10,bagging,0.1375506528590725,0.08434081750143926,0.41006711409395974,90.0
11,bagging,0.0,9.595087315294569e-05,0.0,100.0
12,boosted,1.0,1.0,0.2988428417653391,0.0
13,boosted,0.9977487618190004,0.9866628286317406,0.30118926265715257,1.0
14,boosted,0.9948221521837011,0.9736135098829399,0.30337772895784704,2.0
15,boosted,0.9842413327330032,0.9353291114949146,0.3096317280453258,5.0
16,boosted,0.965105808194507,0.8721934369602763,0.32047544292442254,10.0
17,boosted,0.9144529491220171,0.7511993859144118,0.34160289294424356,20.0
18,boosted,0.8370103556956326,0.6416234887737479,0.3573282075925036,30.0
19,boosted,0.6494822152183701,0.43628862022644405,0.38818622174381057,50.0
20,boosted,0.5384961728950923,0.341009403185569,0.40228725193407333,60.0
21,boosted,0.4189554254840162,0.2492803684513529,0.4173581520520296,70.0
22,boosted,0.14655560558307068,0.0802149299558626,0.4377942165433759,90.0
23,boosted,0.00022512381809995497,0.0,1.0,100.0
24,forest,1.0,1.0,0.2988428417653391,0.0
25,forest,0.9993246285457001,0.98599117251967,0.3016649677200136,1.0
26,forest,0.9975236380009005,0.9724620994051046,0.30420156528902925,2.0
27,forest,0.9903196758217019,0.932930339666091,0.3114997875655006,5.0
28,forest,0.9741107609185051,0.8683554020341585,0.32346564999626226,10.0
29,forest,0.9288608734804142,0.7450585300326233,0.3469851147927004,20.0
