,model,tpr,fpr,precision,threshold
0,forest,1.0,1.0,0.2826086956521739,0.0
1,forest,1.0,0.9982174688057041,0.28297055057618437,0.01
2,forest,1.0,0.9982174688057041,0.28297055057618437,0.02
3,forest,1.0,0.9982174688057041,0.28297055057618437,0.05
4,forest,1.0,0.9982174688057041,0.28297055057618437,0.1
5,forest,1.0,0.9964349376114082,0.2833333333333333,0.2
6,forest,1.0,0.9946524064171123,0.28369704749679076,0.3
7,forest,1.0,0.9928698752228164,0.28406169665809766,0.5
8,forest,1.0,0.9910873440285205,0.28442728442728443,0.6
9,forest,1.0,0.9893048128342246,0.2847938144329897,0.7
10,forest,1.0,0.9857397504456328,0.28552971576227393,0.9
11,forest,1.0,0.9857397504456328,0.28552971576227393,1.0
12,knn,1.0,1.0,0.2826086956521739,0.0
13,knn,1.0,1.0,0.2826086956521739,0.01
14,knn,1.0,1.0,0.2826086956521739,0.02
15,knn,1.0,1.0,0.2826086956521739,0.05
16,knn,1.0,1.0,0.2826086956521739,0.1
17,knn,1.0,1.0,0.2826086956521739,0.2
18,knn,1.0,1.0,0.2826086956521739,0.3
19,knn,1.0,1.0,0.2826086956521739,0.5
20,knn,1.0,1.0,0.2826086956521739,0.6
21,knn,1.0,1.0,0.2826086956521739,0.7
22,knn,1.0,1.0,0.2826086956521739,0.9
23,knn,1.0,1.0,0.2826086956521739,1.0
24,logit,1.0,1.0,0.2826086956521739,0.0
25,logit,1.0,0.9982174688057041,0.28297055057618437,0.01
26,logit,1.0,0.9982174688057041,0.28297055057618437,0.02
27,logit,1.0,0.9982174688057041,0.28297055057618437,0.05
28,logit,1.0,0.9982174688057041,0.28297055057618437,0.1
29,logit,1.0,0.9964349376114082,0.2833333333333333,0.2
30,logit,1.0,0.9946524064171123,0.28369704749679076,0.3
31,logit,0.995475113122172,0.9946524064171123,0.2827763496143959,0.5
32,logit,0.995475113122172,0.9928698752228164,0.28314028314028317,0.6
33,logit,0.995475113122172,0.9910873440285205,0.28350515463917525,0.7
34,logit,0.9909502262443439,0.9893048128342246,0.28294573643410853,0.9
35,logit,0.9909502262443439,0.9893048128342246,0.28294573643410853,1.0
36,tree,1.0,1.0,0.2826086956521739,0.0
37,tree,1.0,1.0,0.2826086956521739,0.01
38,tree,1.0,1.0,0.2826086956521739,0.02
39,tree,1.0,1.0,0.2826086956521739,0.05
40,tree,1.0,1.0,0.2826086956521739,0.1
41,tree,1.0,1.0,0.2826086956521739,0.2
42,tree,1.0,1.0,0.2826086956521739,0.3
43,tree,1.0,1.0,0.2826086956521739,0.5
44,tree,1.0,1.0,0.2826086956521739,0.6
45,tree,1.0,1.0,0.2826086956521739,0.7
46,tree,1.0,1.0,0.2826086956521739,0.9
47,tree,1.0,1.0,0.2826086956521739,1.0
48,baseline,1.0,1.0,,
49,baseline,0.9982174688057041,0.9982174688057041,,
50,baseline,0.9982174688057041,0.9982174688057041,,
51,baseline,0.9982174688057041,0.9982174688057041,,
52,baseline,0.9982174688057041,0.9982174688057041,,
53,baseline,0.9964349376114082,0.9964349376114082,,
54,baseline,0.9946524064171123,0.9946524064171123,,
55,baseline,0.9928698752228164,0.9928698752228164,,
56,baseline,0.9910873440285205,0.9910873440285205,,
57,baseline,0.9893048128342246,0.9893048128342246,,
58,baseline,0.9857397504456328,0.9857397504456328,,
59,baseline,0.9857397504456328,0.9857397504456328,,
60,baseline,1.0,1.0,,
61,baseline,1.0,1.0,,
62,baseline,1.0,1.0,,
63,baseline,1.0,1.0,,
64,baseline,1.0,1.0,,
65,baseline,1.0,1.0,,
66,baseline,1.0,1.0,,
67,baseline,1.0,1.0,,
68,baseline,1.0,1.0,,
69,baseline,1.0,1.0,,
70,baseline,1.0,1.0,,
71,baseline,1.0,1.0,,
72,baseline,1.0,1.0,,
73,baseline,0.9982174688057041,0.9982174688057041,,
74,baseline,0.9982174688057041,0.9982174688057041,,
75,baseline,0.9982174688057041,0.9982174688057041,,
76,baseline,0.9982174688057041,0.9982174688057041,,
77,baseline,0.9964349376114082,0.9964349376114082,,
78,baseline,0.9946524064171123,0.9946524064171123,,
79,baseline,0.9946524064171123,0.9946524064171123,,
80,baseline,0.9928698752228164,0.9928698752228164,,
81,baseline,0.9910873440285205,0.9910873440285205,,
82,baseline,0.9893048128342246,0.9893048128342246,,
83,baseline,0.9893048128342246,0.9893048128342246,,
84,baseline,1.0,1.0,,
85,baseline,1.0,1.0,,
86,baseline,1.0,1.0,,
87,baseline,1.0,1.0,,
88,baseline,1.0,1.0,,
89,baseline,1.0,1.0,,
90,baseline,1.0,1.0,,
91,baseline,1.0,1.0,,
92,baseline,1.0,1.0,,
93,baseline,1.0,1.0,,
94,baseline,1.0,1.0,,
95,baseline,1.0,1.0,,
