,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.26527791172404924,0.0
1,bagging,1.0,1.0,0.26527791172404924,1.0
2,bagging,1.0,1.0,0.26527791172404924,2.0
3,bagging,1.0,1.0,0.26527791172404924,5.0
4,bagging,0.9710373242850218,0.93918179829359,0.27182983920211684,10.0
5,bagging,0.8808773630634997,0.7965871800481296,0.2853385672227674,20.0
6,bagging,0.8808773630634997,0.7965871800481296,0.2853385672227674,30.0
7,bagging,0.7079495879786718,0.5866987530080945,0.3034647550776583,50.0
8,bagging,0.4951526902569074,0.3691096040253774,0.3263057019645424,60.0
9,bagging,0.4951526902569074,0.3691096040253774,0.3263057019645424,70.0
10,bagging,0.28865729520116334,0.1953620651936119,0.34788958668029796,90.0
11,bagging,0.12809015996122153,0.0806825639903741,0.36435711823509137,95.0
12,bagging,0.04180804653417353,0.02647123167796981,0.3631578947368421,98.0
13,bagging,0.04180804653417353,0.02647123167796981,0.3631578947368421,99.0
14,bagging,0.0,4.3754101947057534e-05,0.0,100.0
15,boosted,1.0,1.0,0.26527791172404924,0.0
16,boosted,1.0,1.0,0.26527791172404924,1.0
17,boosted,1.0,1.0,0.26527791172404924,2.0
18,boosted,0.9850945225399903,0.9373003719098666,0.2750837535108795,5.0
19,boosted,0.961100339311682,0.8781010719754977,0.28325,10.0
20,boosted,0.8972370334464372,0.7648654561365128,0.29752863170584687,20.0
21,boosted,0.8080465341735337,0.6609932181141982,0.3062227324913892,30.0
22,boosted,0.5865244789142026,0.46878144826077445,0.31117397454031115,50.0
23,boosted,0.49721279689772174,0.36490921023845985,0.3297436309571647,60.0
24,boosted,0.38742123121667477,0.268431415445198,0.3425846549507072,70.0
25,boosted,0.1362094037809016,0.08693940056880332,0.36129861780777883,90.0
26,boosted,0.07137663596703829,0.042310216582804636,0.37853470437017994,95.0
27,boosted,0.027750848279205043,0.017239116167140668,0.36757624398073835,98.0
28,boosted,0.013936015511391177,0.008619558083570334,0.3685897435897436,99.0
29,boosted,0.0,0.0001312623058411726,0.0,100.0
30,forest,1.0,1.0,0.26527791172404924,0.0
31,forest,0.9981822588463403,0.9917742288339532,0.26653507636551904,1.0
32,forest,0.9949103247697528,0.9800481295121417,0.26822176484040644,2.0
33,forest,0.9841250605913718,0.9425508641435134,0.27377541044398745,5.0
34,forest,0.9621909840038778,0.8854517611026034,0.28179011250310537,10.0
35,forest,0.9015996122152206,0.7663093415007657,0.2981485934118779,20.0
36,forest,0.825496849248667,0.6548676438416101,0.3127783644795445,30.0
37,forest,0.6392389723703344,0.44974841391380443,0.33914105696283914,50.0
38,forest,0.5358700920988851,0.35698971778604244,0.35148239408632065,60.0
39,forest,0.4168686379059622,0.2657186611244804,0.3616104278355934,70.0
40,forest,0.14808531265147842,0.0841828921461387,0.3884297520661157,90.0
41,forest,0.07246728065923412,0.04191642966528112,0.38431876606683807,95.0
42,forest,0.028720310227823558,0.016889083351564207,0.38041733547351525,98.0
43,forest,0.015511391177896268,0.008050754758258586,0.41025641025641024,99.0
44,forest,0.0001211827435773146,0.0,1.0,100.0
45,svm,1.0,1.0,0.26527791172404924,0.0
46,svm,0.9962433349491032,0.9877050973528768,0.2669589219029063,1.0
47,svm,0.9923654871546291,0.9754977029096478,0.26863272536412547,2.0
48,svm,0.9744304411051866,0.9411507328812077,0.27210585090183076,5.0
49,svm,0.9437712069801261,0.8841828921461387,0.27818259751393054,10.0
50,svm,0.8736063984488609,0.7733975060161891,0.28969258589511754,20.0
51,svm,0.7962918080465342,0.6652373660030628,0.30176808266360505,30.0
52,svm,0.6153659718856035,0.4583679719973748,0.3264755046933265,50.0
53,svm,0.5164808531265148,0.35795230802887773,0.342521899863377,60.0
54,svm,0.4043868153174988,0.2623058411726099,0.3575867981140163,70.0
55,svm,0.14747939893359185,0.08287026908772697,0.3911925425908068,90.0
56,svm,0.07852641783809985,0.039728724567928246,0.41645244215938304,95.0
57,svm,0.033446437227338824,0.015182673375628964,0.44301765650080255,98.0
58,svm,0.016480853126514785,0.007700721942682127,0.4358974358974359,99.0
59,svm,0.0,4.3754101947057534e-05,0.0,100.0
60,knn,1.0,1.0,0.26527791172404924,0.0
61,knn,1.0,1.0,0.26527791172404924,1.0
62,knn,1.0,1.0,0.26527791172404924,2.0
63,knn,0.9898206495395055,0.9613651279807482,0.2710019907100199,5.0
64,knn,0.9898206495395055,0.9613651279807482,0.2710019907100199,10.0
65,knn,0.8888754241396025,0.7710347845110479,0.2939055174900829,20.0
66,knn,0.8888754241396025,0.7710347845110479,0.2939055174900829,30.0
67,knn,0.6514784294716433,0.49472763071537956,0.3222442006833303,50.0
68,knn,0.6514784294716433,0.49472763071537956,0.3222442006833303,60.0
69,knn,0.49478914202617547,0.35655217676657186,0.3337965990843689,70.0
70,knn,0.2009209888511876,0.13410632246773135,0.3510480626720305,90.0
71,knn,0.1062772661173049,0.06751257930430977,0.362396694214876,95.0
72,knn,0.05344158991759573,0.03137169109604025,0.38082901554404147,98.0
73,knn,0.01975278720310228,0.011507328812076133,0.3826291079812207,99.0
74,knn,0.0001211827435773146,0.0001312623058411726,0.25,100.0
75,logit,1.0,1.0,0.26527791172404924,0.0
76,logit,0.9972127968977218,0.9873550645373004,0.26721870433511935,1.0
77,logit,0.9938196800775569,0.974972653686283,0.26902637449153655,2.0
78,logit,0.9804895782840524,0.9389630277838548,0.27379784102060845,5.0
79,logit,0.9558894813378574,0.879807481951433,0.2817545363623375,10.0
80,logit,0.8916626272418807,0.7668781448260774,0.295680128591521,20.0
81,logit,0.816650508967523,0.6578866768759571,0.3094833524684271,30.0
82,logit,0.6465099369849734,0.44712316779698097,0.342998585572843,50.0
83,logit,0.5419292292777509,0.3487639466199956,0.3593988587961103,60.0
84,logit,0.42486669898206497,0.2549113979435572,0.37569652807543935,70.0
85,logit,0.15390208434318953,0.08055130168453292,0.40822886531661845,90.0
86,logit,0.07610276296655356,0.040603806606869394,0.40359897172236503,95.0
87,logit,0.029689772176442076,0.01653905053598775,0.39325842696629215,98.0
88,logit,0.01635967038293747,0.007744476044629184,0.4326923076923077,99.0
89,logit,0.0,4.3754101947057534e-05,0.0,100.0
90,tree,1.0,1.0,0.26527791172404924,0.0
91,tree,1.0,1.0,0.26527791172404924,1.0
92,tree,1.0,1.0,0.26527791172404924,2.0
93,tree,1.0,1.0,0.26527791172404924,5.0
94,tree,1.0,1.0,0.26527791172404924,10.0
95,tree,1.0,1.0,0.26527791172404924,20.0
96,tree,1.0,1.0,0.26527791172404924,30.0
97,tree,1.0,1.0,0.26527791172404924,50.0
98,tree,1.0,1.0,0.26527791172404924,60.0
99,tree,0.3778477944740669,0.2934587617589149,0.31735368956743004,70.0
100,tree,0.3778477944740669,0.2934587617589149,0.31735368956743004,90.0
101,tree,0.3778477944740669,0.2934587617589149,0.31735368956743004,95.0
102,tree,0.3778477944740669,0.2934587617589149,0.31735368956743004,98.0
103,tree,0.3778477944740669,0.2934587617589149,0.31735368956743004,99.0
104,tree,0.3778477944740669,0.2934587617589149,0.31735368956743004,100.0
105,baseline,1.0,1.0,,
106,baseline,1.0,1.0,,
107,baseline,1.0,1.0,,
108,baseline,1.0,1.0,,
109,baseline,0.93918179829359,0.93918179829359,,
110,baseline,0.7965871800481296,0.7965871800481296,,
