Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001A_001,SE_A01001A_002,SE_A01001A_003,SE_A01001A_004,SE_A01001A_005,SE_A01001A_006,SE_A01001A_007,SE_A01001A_008,SE_A01001A_009,SE_A01001A_010,SE_A01001A_011,SE_A01001A_012,SE_A10003_001,SE_A14010_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17031040300,14000US17031040300,"Census Tract 403, Cook County, Illinois","Census Tract 403, Cook County, Illinois",il,140,0,ACSSF,5922,17,31,40300,2999,162,233,365,453,663,1108,1500,1962,2422,2787,2926,2.69,104438,414,0,414
17031040401,14000US17031040401,"Census Tract 404.01, Cook County, Illinois","Census Tract 404.01, Cook County, Illinois",il,140,0,ACSSF,5923,17,31,40401,3182,323,375,427,470,583,1514,2139,2566,2910,3034,3115,2.4,115625,470,12,458
17031040402,14000US17031040402,"Census Tract 404.02, Cook County, Illinois","Census Tract 404.02, Cook County, Illinois",il,140,0,ACSSF,5924,17,31,40402,5035,394,783,919,930,1218,2979,3993,4547,4785,4904,4933,2.03,140048,930,45,885
17031040600,14000US17031040600,"Census Tract 406, Cook County, Illinois","Census Tract 406, Cook County, Illinois",il,140,0,ACSSF,5925,17,31,40600,2702,295,404,474,491,678,1363,1880,2266,2508,2627,2692,2.36,101771,491,0,491
17031040700,14000US17031040700,"Census Tract 407, Cook County, Illinois","Census Tract 407, Cook County, Illinois",il,140,0,ACSSF,5926,17,31,40700,3325,288,395,498,540,704,1570,2222,2710,3092,3190,3316,2.17,96875,525,39,486
17031040800,14000US17031040800,"Census Tract 408, Cook County, Illinois","Census Tract 408, Cook County, Illinois",il,140,0,ACSSF,5927,17,31,40800,1813,160,235,286,299,330,836,1147,1337,1537,1711,1723,2.14,97292,299,4,295
17031040900,14000US17031040900,"Census Tract 409, Cook County, Illinois","Census Tract 409, Cook County, Illinois",il,140,0,ACSSF,5928,17,31,40900,1909,69,123,195,212,324,1001,1273,1528,1787,1876,1909,1.96,140781,212,0,212
17031050100,14000US17031050100,"Census Tract 501, Cook County, Illinois","Census Tract 501, Cook County, Illinois",il,140,0,ACSSF,5929,17,31,50100,2711,196,326,486,563,672,1511,1878,2333,2501,2588,2690,2.41,129167,550,0,550
17031050200,14000US17031050200,"Census Tract 502, Cook County, Illinois","Census Tract 502, Cook County, Illinois",il,140,0,ACSSF,5930,17,31,50200,5214,497,937,1195,1269,1455,2338,3430,4081,4447,4846,5028,2.3,134596,1269,27,1242
17031050300,14000US17031050300,"Census Tract 503, Cook County, Illinois","Census Tract 503, Cook County, Illinois",il,140,0,ACSSF,5931,17,31,50300,2562,162,368,509,533,701,1160,1593,1949,2272,2454,2532,2.38,98203,533,83,450
17031050500,14000US17031050500,"Census Tract 505, Cook County, Illinois","Census Tract 505, Cook County, Illinois",il,140,0,ACSSF,5932,17,31,50500,6311,580,1183,1626,1773,2112,3254,4537,5420,5827,6029,6254,2.84,149231,1773,41,1732
17031050600,14000US17031050600,"Census Tract 506, Cook County, Illinois","Census Tract 506, Cook County, Illinois",il,140,0,ACSSF,5933,17,31,50600,2238,105,163,222,313,490,1246,1541,1905,2121,2192,2203,2.05,156528,313,20,293
17031050700,14000US17031050700,"Census Tract 507, Cook County, Illinois","Census Tract 507, Cook County, Illinois",il,140,0,ACSSF,5934,17,31,50700,1593,146,221,282,328,450,916,1234,1413,1501,1578,1593,2.36,178393,328,0,328
17031050800,14000US17031050800,"Census Tract 508, Cook County, Illinois","Census Tract 508, Cook County, Illinois",il,140,0,ACSSF,5935,17,31,50800,1476,122,292,352,369,445,821,1152,1307,1376,1472,1472,2.51,188750,369,17,352
17031050900,14000US17031050900,"Census Tract 509, Cook County, Illinois","Census Tract 509, Cook County, Illinois",il,140,0,ACSSF,5936,17,31,50900,1462,123,241,327,366,398,787,1119,1265,1336,1428,1451,2.49,106442,366,0,366
17031051000,14000US17031051000,"Census Tract 510, Cook County, Illinois","Census Tract 510, Cook County, Illinois",il,140,0,ACSSF,5937,17,31,51000,1783,220,381,423,454,487,1020,1424,1584,1662,1735,1765,2.41,157188,454,33,421
17031051100,14000US17031051100,"Census Tract 511, Cook County, Illinois","Census Tract 511, Cook County, Illinois",il,140,0,ACSSF,5938,17,31,51100,1670,232,367,420,432,551,868,1230,1497,1537,1626,1626,2.59,167024,432,12,420
17031051200,14000US17031051200,"Census Tract 512, Cook County, Illinois","Census Tract 512, Cook County, Illinois",il,140,0,ACSSF,5939,17,31,51200,1623,160,257,350,396,466,1050,1299,1438,1548,1579,1601,2.61,154375,396,5,391
17031051300,14000US17031051300,"Census Tract 513, Cook County, Illinois","Census Tract 513, Cook County, Illinois",il,140,0,ACSSF,5940,17,31,51300,2783,363,559,656,692,808,1447,2141,2492,2640,2713,2783,2.47,175500,692,11,681
17031051400,14000US17031051400,"Census Tract 514, Cook County, Illinois","Census Tract 514, Cook County, Illinois",il,140,0,ACSSF,5941,17,31,51400,1814,132,261,358,370,496,1015,1384,1612,1709,1767,1806,2.3,127708,370,10,360
17031060100,14000US17031060100,"Census Tract 601, Cook County, Illinois","Census Tract 601, Cook County, Illinois",il,140,0,ACSSF,5942,17,31,60100,2773,204,402,561,609,852,1407,2209,2444,2628,2728,2745,2.26,173553,609,24,585
