,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.28409581110228177,0.0
1,bagging,1.0,1.0,0.28409581110228177,0.01
2,bagging,1.0,1.0,0.28409581110228177,0.02
3,bagging,1.0,1.0,0.28409581110228177,0.05
4,bagging,1.0,1.0,0.28409581110228177,0.1
5,bagging,1.0,0.9999682861854624,0.2841022613749887,0.2
6,bagging,0.7164548869176057,0.553374349866802,0.339403346710078,0.3
7,bagging,0.0,0.0,,0.5
8,bagging,0.0,0.0,,0.6
9,bagging,0.0,0.0,,0.7
10,bagging,0.0,0.0,,0.9
11,bagging,0.0,0.0,,1.0
12,forest,1.0,1.0,0.28409581110228177,0.0
13,forest,1.0,1.0,0.28409581110228177,0.01
14,forest,1.0,1.0,0.28409581110228177,0.02
15,forest,1.0,1.0,0.28409581110228177,0.05
16,forest,1.0,1.0,0.28409581110228177,0.1
17,forest,1.0,1.0,0.28409581110228177,0.2
18,forest,0.8417645648525534,0.7509197006215907,0.3078834293063635,0.3
19,forest,0.0,0.0,,0.5
20,forest,0.0,0.0,,0.6
21,forest,0.0,0.0,,0.7
22,forest,0.0,0.0,,0.9
23,forest,0.0,0.0,,1.0
24,knn,1.0,1.0,0.28409581110228177,0.0
25,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.01
26,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.02
27,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.05
28,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.1
29,knn,0.8414448973068009,0.7154636559685399,0.3182024237662063,0.2
30,knn,0.6498841205146647,0.4969554738043892,0.3416519620199983,0.3
31,knn,0.40917445856309437,0.28732715971077,0.3610719322990127,0.5
32,knn,0.2101814113322145,0.13513256374476723,0.3816572340734291,0.6
33,knn,0.07943738511947575,0.04804642902448306,0.3961737744121164,0.7
34,knn,0.0008790857508191481,0.00028542433083851327,0.55,0.9
35,knn,0.0008790857508191481,0.00028542433083851327,0.55,1.0
36,logit,1.0,1.0,0.28409581110228177,0.0
37,logit,0.9999200831135618,0.9995242927819358,0.2841763383224693,0.01
38,logit,0.9996004155678094,0.99787517442598,0.2844472744638756,0.02
39,logit,0.9957644050187805,0.9846822275783331,0.28637753108552255,0.05
40,logit,0.9800207783904739,0.9332107065837879,0.29415433327736334,0.1
41,logit,0.8715735634939663,0.7103260180134466,0.32746817199135236,0.2
42,logit,0.6780947814273156,0.45407839654953697,0.37210016225935183,0.3
43,logit,0.26971949172860227,0.1343080045667893,0.44349540078843624,0.5
44,logit,0.13378086789738672,0.06434732969681593,0.45206589251957874,0.6
45,logit,0.058259410213378084,0.027559304833185336,0.45619524405506884,0.7
46,logit,0.010788779669144091,0.00564505898769504,0.43130990415335463,0.9
47,logit,0.0002397506593143131,3.1713814537612584e-05,0.75,1.0
48,tree,1.0,1.0,0.28409581110228177,0.0
49,tree,1.0,0.9987631612330331,0.2843475889651411,0.01
50,tree,1.0,0.9987631612330331,0.2843475889651411,0.02
51,tree,1.0,0.9987631612330331,0.2843475889651411,0.05
52,tree,0.9786621913210262,0.8859571229227452,0.30476332686277435,0.1
53,tree,0.9248781267481819,0.7512051249524293,0.3282189449801475,0.2
54,tree,0.7712778710141452,0.534377774958772,0.3641749367948379,0.3
55,tree,0.2449452569327899,0.12105163009006724,0.44536471955826795,0.5
56,tree,0.005274514504914889,0.004757072180641888,0.3055555555555556,0.6
57,tree,0.0035163430032765924,0.002346822275783331,0.3728813559322034,0.7
58,tree,0.0002397506593143131,0.0006342762907522517,0.13043478260869565,0.9
59,tree,0.0002397506593143131,0.0006342762907522517,0.13043478260869565,1.0
60,baseline,1.0,1.0,,
61,baseline,1.0,1.0,,
62,baseline,1.0,1.0,,
63,baseline,1.0,1.0,,
64,baseline,1.0,1.0,,
65,baseline,0.9999682861854624,0.9999682861854624,,
66,baseline,0.553374349866802,0.553374349866802,,
67,baseline,0.0,0.0,,
68,baseline,0.0,0.0,,
69,baseline,0.0,0.0,,
70,baseline,0.0,0.0,,
71,baseline,0.0,0.0,,
72,baseline,1.0,1.0,,
73,baseline,1.0,1.0,,
74,baseline,1.0,1.0,,
75,baseline,1.0,1.0,,
76,baseline,1.0,1.0,,
77,baseline,1.0,1.0,,
78,baseline,0.7509197006215907,0.7509197006215907,,
79,baseline,0.0,0.0,,
80,baseline,0.0,0.0,,
81,baseline,0.0,0.0,,
82,baseline,0.0,0.0,,
83,baseline,0.0,0.0,,
84,baseline,1.0,1.0,,
