,model,tpr,fpr,precision,threshold
0,forest,1.0,1.0,0.29459179948898895,0.0
1,forest,1.0,1.0,0.29459179948898895,0.01
2,forest,1.0,1.0,0.29459179948898895,0.02
3,forest,1.0,1.0,0.29459179948898895,0.05
4,forest,1.0,1.0,0.29459179948898895,0.1
5,forest,0.9994837377387713,0.9958820231986546,0.2953425577031624,0.2
6,forest,0.023128549303045948,0.009874520288042775,0.49448123620309054,0.3
7,forest,0.0,0.0,,0.5
8,forest,0.0,0.0,,0.6
9,forest,0.0,0.0,,0.7
10,forest,0.0,0.0,,0.9
11,forest,0.0,0.0,,1.0
12,baseline,1.0,1.0,,
13,baseline,1.0,1.0,,
14,baseline,1.0,1.0,,
15,baseline,1.0,1.0,,
16,baseline,1.0,1.0,,
17,baseline,0.9958820231986546,0.9958820231986546,,
18,baseline,0.009874520288042775,0.009874520288042775,,
19,baseline,0.0,0.0,,
20,baseline,0.0,0.0,,
21,baseline,0.0,0.0,,
22,baseline,0.0,0.0,,
23,baseline,0.0,0.0,,
