,model,tpr,fpr,precision,threshold
0,bagging,1.0,1.0,0.29459179948898895,0.0
1,bagging,1.0,1.0,0.29459179948898895,0.01
2,bagging,1.0,1.0,0.29459179948898895,0.02
3,bagging,1.0,1.0,0.29459179948898895,0.05
4,bagging,1.0,1.0,0.29459179948898895,0.1
5,bagging,0.9835828600929272,0.9565564227502048,0.300414702218578,0.2
6,bagging,0.26886938564790913,0.17437799146220517,0.3916967509025271,0.3
7,bagging,0.0,0.0,,0.5
8,bagging,0.0,0.0,,1.0
9,forest,1.0,1.0,0.29459179948898895,0.0
10,forest,1.0,1.0,0.29459179948898895,0.01
11,forest,1.0,1.0,0.29459179948898895,0.02
12,forest,1.0,1.0,0.29459179948898895,0.05
13,forest,1.0,1.0,0.29459179948898895,0.1
14,forest,0.9999483737738771,0.9996334785045923,0.2946572549974138,0.2
15,forest,0.004801239029426949,0.0038808158337286015,0.34065934065934067,0.3
16,forest,0.0,0.0,,0.5
17,forest,0.0,0.0,,1.0
18,knn,1.0,1.0,0.29459179948898895,0.0
19,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.01
20,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.02
21,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.05
22,knn,0.9148683531233867,0.8213315510327283,0.3174896087143471,0.1
23,knn,0.7257614868353124,0.5779397179940494,0.34401918559122946,0.2
24,knn,0.47377387712958186,0.34101591134491827,0.36716812034888374,0.3
25,knn,0.24620547237996904,0.1623043422017162,0.3878181670326096,0.5
26,knn,0.0005678884873515746,0.00019404079168643007,0.55,1.0
27,logit,1.0,1.0,0.29459179948898895,0.0
28,logit,0.9995353639648942,0.9982751929627873,0.2948540273822396,0.01
29,logit,0.9991223541559112,0.9966581863654004,0.29510521500457454,0.02
30,logit,0.9972638100154879,0.9892630761933509,0.29626846214015123,0.05
31,logit,0.9755291688177594,0.9281402268121254,0.305044797804504,0.1
32,logit,0.7878162106350026,0.615475831141391,0.34834615472413083,0.2
33,logit,0.4995353639648942,0.3052046052347894,0.4060087277609936,0.3
34,logit,0.09654104284976768,0.042300892587641754,0.4879958246346555,0.5
35,logit,0.0,2.1560087965158897e-05,0.0,1.0
36,tree,1.0,1.0,0.29459179948898895,0.0
37,tree,0.9999483737738771,1.0,0.2945810710103268,0.01
38,tree,0.9999483737738771,1.0,0.2945810710103268,0.02
39,tree,0.9971089313371193,0.9695787158811608,0.300443338259314,0.05
40,tree,0.9644295302013423,0.8358414902332801,0.32517537293947674,0.1
41,tree,0.8340733092410945,0.6022810573067138,0.3664239867546665,0.2
42,tree,0.6130098089829633,0.3849122504419818,0.3994348572005248,0.3
43,tree,0.041094475993804856,0.018843516881548877,0.47664670658682634,0.5
44,tree,5.162622612287042e-05,0.00015092061575611228,0.125,1.0
45,baseline,1.0,1.0,,
46,baseline,1.0,1.0,,
47,baseline,1.0,1.0,,
48,baseline,1.0,1.0,,
49,baseline,1.0,1.0,,
50,baseline,0.9565564227502048,0.9565564227502048,,
51,baseline,0.17437799146220517,0.17437799146220517,,
52,baseline,0.0,0.0,,
53,baseline,0.0,0.0,,
54,baseline,1.0,1.0,,
55,baseline,1.0,1.0,,
56,baseline,1.0,1.0,,
57,baseline,1.0,1.0,,
58,baseline,1.0,1.0,,
59,baseline,0.9996334785045923,0.9996334785045923,,
60,baseline,0.0038808158337286015,0.0038808158337286015,,
61,baseline,0.0,0.0,,
62,baseline,0.0,0.0,,
63,baseline,1.0,1.0,,
64,baseline,0.8213315510327283,0.8213315510327283,,
65,baseline,0.8213315510327283,0.8213315510327283,,
66,baseline,0.8213315510327283,0.8213315510327283,,
67,baseline,0.8213315510327283,0.8213315510327283,,
68,baseline,0.5779397179940494,0.5779397179940494,,
69,baseline,0.34101591134491827,0.34101591134491827,,
70,baseline,0.1623043422017162,0.1623043422017162,,
71,baseline,0.00019404079168643007,0.00019404079168643007,,
72,baseline,1.0,1.0,,
73,baseline,0.9982751929627873,0.9982751929627873,,
74,baseline,0.9966581863654004,0.9966581863654004,,
75,baseline,0.9892630761933509,0.9892630761933509,,
76,baseline,0.9281402268121254,0.9281402268121254,,
77,baseline,0.615475831141391,0.615475831141391,,
78,baseline,0.3052046052347894,0.3052046052347894,,
79,baseline,0.042300892587641754,0.042300892587641754,,
80,baseline,2.1560087965158897e-05,2.1560087965158897e-05,,
81,baseline,1.0,1.0,,
82,baseline,1.0,1.0,,
83,baseline,1.0,1.0,,
84,baseline,0.9695787158811608,0.9695787158811608,,
85,baseline,0.8358414902332801,0.8358414902332801,,
86,baseline,0.6022810573067138,0.6022810573067138,,
87,baseline,0.3849122504419818,0.3849122504419818,,
88,baseline,0.018843516881548877,0.018843516881548877,,
89,baseline,0.00015092061575611228,0.00015092061575611228,,
