,model,tpr,fpr,precision,threshold
0,forest,1.0,1.0,0.29459179948898895,0.0
1,forest,1.0,1.0,0.29459179948898895,0.01
2,forest,1.0,1.0,0.29459179948898895,0.02
3,forest,1.0,1.0,0.29459179948898895,0.05
4,forest,1.0,1.0,0.29459179948898895,0.1
5,forest,0.9999483737738771,0.9997628390323833,0.29463036203224824,0.2
6,forest,0.014145585957666495,0.005303781639429089,0.5269230769230769,0.3
7,forest,0.0,0.0,,0.5
8,forest,0.0,0.0,,0.6
9,forest,0.0,0.0,,0.7
10,forest,0.0,0.0,,0.9
11,forest,0.0,0.0,,1.0
12,baseline,1.0,1.0,,
13,baseline,1.0,1.0,,
14,baseline,1.0,1.0,,
15,baseline,1.0,1.0,,
16,baseline,1.0,1.0,,
17,baseline,0.9997628390323833,0.9997628390323833,,
18,baseline,0.005303781639429089,0.005303781639429089,,
19,baseline,0.0,0.0,,
20,baseline,0.0,0.0,,
21,baseline,0.0,0.0,,
22,baseline,0.0,0.0,,
23,baseline,0.0,0.0,,
