,model,tpr,fpr,precision,threshold
0,boosted,1.0,1.0,0.28409581110228177,0.0
1,boosted,1.0,1.0,0.28409581110228177,0.01
2,boosted,1.0,1.0,0.28409581110228177,0.02
3,boosted,1.0,1.0,0.28409581110228177,0.05
4,boosted,1.0,1.0,0.28409581110228177,0.1
5,boosted,1.0,1.0,0.28409581110228177,0.2
6,boosted,1.0,1.0,0.28409581110228177,0.3
7,boosted,0.12171341804523296,0.07852340479512876,0.3808452113028257,0.5
8,boosted,0.0,0.0,,0.6
9,boosted,0.0,0.0,,0.7
10,boosted,0.0,0.0,,0.9
11,boosted,0.0,0.0,,1.0
12,forest,1.0,1.0,0.28409581110228177,0.0
13,forest,1.0,1.0,0.28409581110228177,0.01
14,forest,1.0,1.0,0.28409581110228177,0.02
15,forest,1.0,1.0,0.28409581110228177,0.05
16,forest,1.0,1.0,0.28409581110228177,0.1
17,forest,1.0,1.0,0.28409581110228177,0.2
18,forest,0.9360664908495165,0.8645820119243942,0.3005259781911482,0.3
19,forest,0.0,0.0,,0.5
20,forest,0.0,0.0,,0.6
21,forest,0.0,0.0,,0.7
22,forest,0.0,0.0,,0.9
23,forest,0.0,0.0,,1.0
24,knn,1.0,1.0,0.28409581110228177,0.0
25,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.01
26,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.02
27,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.05
28,knn,0.9590825541436906,0.894075859444374,0.2985843306048317,0.1
29,knn,0.8414448973068009,0.7154636559685399,0.3182024237662063,0.2
30,knn,0.6498841205146647,0.4969554738043892,0.3416519620199983,0.3
31,knn,0.40917445856309437,0.28732715971077,0.3610719322990127,0.5
32,knn,0.2101814113322145,0.13513256374476723,0.3816572340734291,0.6
33,knn,0.07943738511947575,0.04804642902448306,0.3961737744121164,0.7
34,knn,0.0008790857508191481,0.00028542433083851327,0.55,0.9
35,knn,0.0008790857508191481,0.00028542433083851327,0.55,1.0
36,tree,1.0,1.0,0.28409581110228177,0.0
37,tree,1.0,0.9987631612330331,0.2843475889651411,0.01
38,tree,1.0,0.9987631612330331,0.2843475889651411,0.02
39,tree,1.0,0.9987631612330331,0.2843475889651411,0.05
40,tree,0.9786621913210262,0.8859571229227452,0.30476332686277435,0.1
41,tree,0.9248781267481819,0.7512051249524293,0.3282189449801475,0.2
42,tree,0.7712778710141452,0.534377774958772,0.3641749367948379,0.3
43,tree,0.2449452569327899,0.12105163009006724,0.44536471955826795,0.5
44,tree,0.005274514504914889,0.004757072180641888,0.3055555555555556,0.6
45,tree,0.0035163430032765924,0.002346822275783331,0.3728813559322034,0.7
46,tree,0.0002397506593143131,0.0006342762907522517,0.13043478260869565,0.9
47,tree,0.0002397506593143131,0.0006342762907522517,0.13043478260869565,1.0
48,baseline,1.0,1.0,,
49,baseline,1.0,1.0,,
50,baseline,1.0,1.0,,
51,baseline,1.0,1.0,,
52,baseline,1.0,1.0,,
53,baseline,1.0,1.0,,
54,baseline,1.0,1.0,,
55,baseline,0.07852340479512876,0.07852340479512876,,
56,baseline,0.0,0.0,,
57,baseline,0.0,0.0,,
58,baseline,0.0,0.0,,
59,baseline,0.0,0.0,,
60,baseline,1.0,1.0,,
61,baseline,1.0,1.0,,
62,baseline,1.0,1.0,,
63,baseline,1.0,1.0,,
64,baseline,1.0,1.0,,
65,baseline,1.0,1.0,,
66,baseline,0.8645820119243942,0.8645820119243942,,
67,baseline,0.0,0.0,,
68,baseline,0.0,0.0,,
69,baseline,0.0,0.0,,
70,baseline,0.0,0.0,,
71,baseline,0.0,0.0,,
72,baseline,1.0,1.0,,
73,baseline,0.894075859444374,0.894075859444374,,
74,baseline,0.894075859444374,0.894075859444374,,
75,baseline,0.894075859444374,0.894075859444374,,
76,baseline,0.894075859444374,0.894075859444374,,
77,baseline,0.7154636559685399,0.7154636559685399,,
78,baseline,0.4969554738043892,0.4969554738043892,,
79,baseline,0.28732715971077,0.28732715971077,,
80,baseline,0.13513256374476723,0.13513256374476723,,
81,baseline,0.04804642902448306,0.04804642902448306,,
82,baseline,0.00028542433083851327,0.00028542433083851327,,
83,baseline,0.00028542433083851327,0.00028542433083851327,,
84,baseline,1.0,1.0,,
85,baseline,0.9987631612330331,0.9987631612330331,,
86,baseline,0.9987631612330331,0.9987631612330331,,
87,baseline,0.9987631612330331,0.9987631612330331,,
88,baseline,0.8859571229227452,0.8859571229227452,,
89,baseline,0.7512051249524293,0.7512051249524293,,
90,baseline,0.534377774958772,0.534377774958772,,
91,baseline,0.12105163009006724,0.12105163009006724,,
92,baseline,0.004757072180641888,0.004757072180641888,,
93,baseline,0.002346822275783331,0.002346822275783331,,
94,baseline,0.0006342762907522517,0.0006342762907522517,,
95,baseline,0.0006342762907522517,0.0006342762907522517,,
